Cliente Ordine ,Ragione Sociale ,Partita iva,Codice ateco
751,T.C.M.  DI COVEZZI G.C.,01970120364,
754,GENERAL IMPIANTI SRL,01073910422,
758,F.A.M.A.C. SNC,00052650389,
774,PIERI SRL,01228090401,
794,FRAMAR SRL,01286400369,
809,CASALIN SRL,00607871209,
817,SITI - B&T GROUP  SPA,02071130369,
825,SIPLA SRL,01733741209,
830,PENNELLIFICIO OMEGA SPA,02116670379,
831,AIRLESS ITALIA  SRL,03199190368,
834,O.M.M.A. PACK SRL,00625011200,
838,SERVOMECH  SPA,02848481202,
839,ANTEO SPA,00707441200,
855,GM3   SRL,02851771200,
859,ORSI GROUP SRL,03049991205,
878,C.E.E.I.  SRL,01537781203,
884,SEGAFREDO ZANETTI SPA,00526881206,
892,ELETTROMECCANICA N.T. SR,00188000350,
897,TESANI E SAMMARCHI SRL,00674761200,
905,ICOTET    SRL,01784250365,
908,B.D.P.  SRL   - UNIPERSO,02793851201,
909,PACTUR SRL,01530801206,
911,INFOMOTION  SRL,02294780362,
912,L.C.  AUTOMAZIONE,02878671201,
919,NORBLAST  SRL,02311131201,
925,ENGIN PLAST  SRL,01515370383,
930,REMET SAS,00391750411,
931,MECBO SRL,00508751203,
935,MIX  SRL   -  UNIPERSONA,01955050362,
938,LANCIA SRL,02000810362,
945,DIERRE SPA,03665190363,
947,ELFI SPA    (35),02698210404,
957,PIZZATO ELETTRICA SRL,01704080249,
967,PEI VM SRL,02886271200,
972,PELLICONI ABRUZZO SRL,01485820698,
973,PENTATECH SRL,02277210395,
986,SIR SPA,02690180365,
1005,I.T. TECHNOLOGIES  SRL,02653790366,
1008,ELETTROMECC.FORLIVESE,01732150402,
1010,ALVE SRL,03237200369,
1016,UNITECH  SRL,03894120363,
1017,ZEPHIR  SPA,00262550361,
1031,SELENE  SRL,01279530503,
1035,FLODRAULIC INDUSTRIAL SR,00592061204,
1052,DMC SRL,01965780354,
1057,UNITEC  SPA,01090820398,
1063,SENSORLINE AUTOMATION  S,04271900377,
1087,SORMA SPA,00284630407,
1089,GN MED  SRL,01230930396,
1092,DOTECO  SPA,02211350364,
1094,GALMAR SAS  DI GALLETTI,00550891204,
1098,EMMEGI SPA,01978870366,
1102,MGF SAS DI MARCUZZI ANDR,09856360012,
1113,B.L. MEDITERRANEO  SRL,02598631204,
1137,DINAMIC OIL SPA  a socio,01678080365,
1140,NEXT HYDRAULICS SRL,01364450351,
1155,ARTIGLIO  SPA,01583560360,
1158,SAIMEC  SRL,01839560347,
1160,CATELLANI TECNO FORN.ELE,00260720354,
1162,PRIMA FOLDER SRL,02202160392,
1166,MANFREDINI F.LLI SNC,00676771207,
1173,TECNOPROGET SAS DI NANNI,01664671201,
1179,G.N.A.  SRL,00653341206,
1187,ATLANTA SPA,02144141203,
1190,GIUGNI SRL,02656780364,
1192,TECNA SPA,00632201208,
1198,IMELETTRA  BOGUARD SAS,04134090374,
1200,TECNOMAC  GROUP  SRL,04534160405,
1207,EFFEPI SNC,00529591208,
1212,T.S.A. TECN. SPEC. APPLI,00619671209,
1214,A.E.P.I. INDUSTRIE  SRL,03236891200,
1222,CYBER SRL,00807770383,
1225,TOPJET SPA,01972520363,
1240,CLARI  ROBERTA,01925181206,
1249,BETTATI ANTINCENDIO SRL,01979170352,
1272,UNIVERSAL PACK SRL,02209430400,
1278,G.S. ELETTROFORN. DI SAB,01175700432,
1289,MEBER  SRL,01360420366,
1315,TECNOSERVICE SNC,02841630367,
1319,VN SYSTEM  SAS,02238910414,
1323,M.D.L.  ENGINEERING  SRL,03004831206,
1332,BERGAMI PACKAGING SOLUTI,03421871207,
1335,SELIN PROJECTS SRL,01629731207,
1343,MEC 2000 SRL,01619441205,
1346,CURTI COST.MECCANICHE SP,00081590390,
1348,BNB  SRL,03237220367,
1377,N.S. SISTEMI & SERVIZI S,02782780361,
1382,QUBIEMME TECNOLOGIE SRL,02440020358,
1389,STETON SRL,03461610366,
1409,GUERRA ROMANO  & C. SNC,01553221209,
1421,BERMA MACCHINE SRL (a so,00834321200,
1422,COMER  SRL,04088760378,
1423,IACEC SNC,02091030391,
1436,BMC SRL,03049571205,
1438,HOBBY GARDEN PETUCCO SRL,02408900351,
1443,F.LLI RINALDI SRL,00344630363,
1447,OBER SPA,00513531202,
1463,RIGHI ELETTROSERVIZI SPA,03252650407,
1465,AIR POWER GROUP SRL,01906390354,
1467,V2 ENGINEERING  SRL,00688101203,
1476,LB OFF.MECCANICHE SPA,00218570364,
1483,KAERCHER FLOOR CARE SRL,00265160358,
1484,IMAS AEROMECCANICA SRL -,00677141202,
1490,BRIGHI TECNOLOGIE ITALIA,01796910402,
1503,NUOVA ALCE SRL,02288730357,
1507,ERREBI  SRL,02253741207,
1516,ALESSANDRO GARBIN SRL,03650730371,
1522,UPB  SRL,01650391202,
1555,FOR.PLAST SAS,01674351208,
1568,CO.FIN ELETTRONICA SRL,01202140354,
1586,G.F.T.  AUTOMAZIONI  SRL,02703880365,
1597,S.I.A. DI ANGELO PANARES,01654091204,
1607,IM.VA  SRL,02568040360,
1612,ANGELO PO GRANDI CUCINE,01932240367,
1637,I.C.M. SRL,00901650390,
1651,C.N.S. SRL,01191560398,
1652,GRUPPO FABBRI VIGNOLA  S,07222950961,
1657,ELETTRICA 3M SNC DI BARB,03045330366,
1660,SAIEM SRL,03283820367,
1665,ALFREDO COLI  SRL,04495580401,
1667,CASA DEL SEDILE SNC,00416960367,
1670,I.E.M.A. SRL,01673831200,
1690,ELETTRONICA BAZZANESE SR,00559721204,
1691,WATTS INDUSTRIES ITALIA,01742290214,
1707,A&A ELETTROMECCANICA S.A,01549261202,
1712,CEM SERVICE SRL,02204231209,
1715,DICO GROUP SRL,00664291200,
1717,COMECER  SPA,02404790392,
1722,URBINATI  SRL,02572960405,
1726,TECNO SYSTEM SRL,01329510380,
1742,AB TRASMISSIONI SRL,01600210387,
1754,AMZ SRL,02898760364,
1793,TECHNO-B  SRL,06597960969,
1806,SIGER SRL,00680961208,
1841,M.L.A. SRL,03169440363,
1859,A UNO TEC SRL,03024020368,
1866,ELISAM SRL,03890810405,
1871,SACMS   SPA,SM00445,
1872,GRAMIGNA SRL,00509671202,
1874,DYASET SRL,01380990380,
1877,AUTOMAZIONE POLVERI E GR,03119441206,
1881,PICOTRONIK  S.R.L.,02820090369,
1888,U.P.M. PRODUZIONE SRL,02919171203,
1900,P.M.CO. SRL,03962760371,
1919,EL.M.I.  SRL,03583871201,
1930,C&C GROUP  SRL,03434700401,
1958,TOPPY SRL,00550761209,
1961,MESSERSI' SPA,02240770426,
1971,PROTEO ENGINEERING SRL,02355570363,
1975,CECCHINI SERVICE SRL,01919361202,
1977,ELETTRO QUALITY & C. SAS,02284960362,
1983,PROTERM  SRL,00505861203,
1984,TEL.SI SRL,01814490361,
1986,TEA SPA,SM05874,
2002,TORACCHIO SAS,01513570695,
2006,ORTECO SRL,00607651205,
2040,ALBERTO  SASSI  SPA,01994221206,
2060,LAMP SAN PROSPERO SPA-IN,03423080369,
2063,ERREVI AUTOMATION  SRL,02133320362,
2075,CM CASADEI SAS,02210070401,
2081,TE.CO.TECNOLOGIA COMM.LE,01636081208,
2099,G.e P. ELETTROMECCANICA,00584671200,
2112,ROSSI S.R.L.,02419170366,
2122,HYDRECO HYDRAULICS ITALI,00797180361,
2130,PESCAVI S.R.L.,01205840687,
2137,MILLTEX SPA,00753740349,
2149,GRAF  INDUSTRIES  SPA,02224770368,
2158,PLASTOD SPA,00497271205,
2160,REPA ITALIA SRL  A SOCIO,00958880403,
2161,C.F. SYSTEM SRL,01800930362,
2191,BEVINI SRL,01780300362,
2198,COMUR SRL,00576931208,
2208,FARMO RES SRL,00949390397,
2223,DIASTECA SRL,02127590368,
2231,EUROZAPPA SPA,00551411200,
2237,GIMAT SRL,00518241203,
2247,F.O.M. INDUSTRIE SRL,00938200409,
2251,CIFO SRL  SOCIETA'  PERS,00551551203,
2253,ACD INDUSTRIES SRL,00630881209,
2268,AMA  INDUSTRIAL DI OLIVE,03247551207,
2309,GALLETTI SPA,00605791201,
2325,TINARELLI SRL,00670511203,
2329,DESTATIC SAS,01933471201,
2330,TEKNE SPA,01992140697,
2340,MASMEC SPA,03805970724,
2354,GEM S.R.L.,00612990390,
2369,TECNOMEC BORGHI SRL,02735790368,
2389,TMA SRL,01741330367,
2404,BETT SISTEMI SRL,02262780360,
2409,ITALMICRO SRL,00692711203,
2417,PROGETTO QUADRO  SRL,03623920406,
2428,PULSAR INDUSTRY  SRL,02232590360,
2431,LOMAR AUTOMAZIONI SRL,01903201208,
2446,LANZI SNC,00631391208,
2447,MONOLAB SRL,02307500369,
2451,CONSERVE ITALIA SOC.COOP,00708311204,
2468,LAGOS SRL,03630451205,
2469,MICROLINE SRL,02023401207,
2472,MONTANARI GIULIO & C. SR,01047170368,
2490,NUOVA SIPLA SAS DI GUALA,01611370402,
2505,FABIO LEONARDI SRL,02703071205,
2512,IMP.EL  SRL,01945521209,
2520,COSMOPACK SRL,02504930369,
2527,G.F. GORDINI  SRL - SOC.,00953590395,
2540,MICRONICA SRL,02045831209,
2549,C.E.L. CABLAGGI SRL - A,01595161207,
2564,BONATO & VERONESI  SRL,00513151209,
2569,BUSINARO SRL,04231390370,
2572,MARCHESINI SNC,02438440378,
2574,TEM ELECTRIC MOTORS SRL,01978390357,
2590,H.P.E. SRL,02090291200,
2599,E.M.C. SRL,02095631202,
2606,GUSEO SRL,00310330337,
2608,GALILEO ENGINEERING SRL,01799760358,
2625,ELECTRA SPA,SM04837,
2629,POPPI FRANCO  SRL,00562271205,
2673,GF AUTOMAZIONI SRL,02129311201,
2689,BIAGINI SRL       - UNIP,02700501204,
2712,DUMEK SRL   A SOCIO UNIC,00549391209,
2717,MP3 SRL,03499581209,
2733,ANNOVI REVERBERI SPA,02207040367,
2734,TECNO 2000 AUTOMAZIONI S,02435780362,
2757,SITEP SRL,01526140387,
2763,EMANUEL SRL,00587851205,
2781,CREI SRL,00647501204,
2810,SALVARANI SRL,01592070351,
2835,ELFI  SPA  (30),02698210404,
2849,MIELE SPA,01370740514,
2852,MF GROUP SRL,02574090276,
2857,CARPANO EQUIPMENT SRL,04130740378,
2871,EUROCONNECTION SRL,09250050011,
2875,SCOVA IMPIANTI SRL,02494490366,
2881,FER-HYDRAULIK SRL,02031130350,
2903,GRASSELLI SPA,01218020350,
2920,G.E.A.F.  SPA,00349270348,
2927,JOB'S SERVICE SRL UNIPER,03665561209,
2937,EUROSIS SRL SOCIO UNICO,01499890380,
2945,SYSTEM CABLE SRL,01515810354,
2950,SGE SRL,01268070396,
2955,GENERAL COM SPA       (3,00539820357,
2970,POMPE CASALI SRL,00523241206,
2977,IRCE SPA,00707431201,
2984,CABLONET SRL,02726650365,
3007,SYRTEC SERVICE SRL,02282151204,
3010,ELETTRO-SOFTWARE SRL,02683420364,
3013,MATTARELLI SRL,04143490375,
3015,NUOVA ELETTRO 90 SNC,01493670358,
3034,ELETTROART SNC,00538741208,
3035,SCAMA  AUTRONICA  SRL,04287960373,
3047,DELTATECH DI FONDRIEST I,01085150405,
3063,LINK GRUPPO SPA,03514650179,
3069,3D AUTOMAZIONE SRL,01618311201,
3081,CPS COMPANY SRL,02288321207,
3092,DELLA CASA RETI SRL a SO,02819320363,
3116,CO.ME.T. OFFICINE SPA -,00503271207,
3124,LEGORI SRL,00782830426,
3131,OPERA  SRL,02432800361,
3139,EUROTEC SRL,01596581205,
3151,FAE  ENGINEERING  SRL,02341671200,
3156,COBO SPA,01931530982,
3205,MITECO SRL,02852350368,
3216,RETTIFICHE IOZZO PAOLINO,02332191200,
3235,GEA SRL,01465340394,
3253,TECNOIDEAL  SRL,00818130361,
3265,LAMIPRESS SRL,01587651207,
3269,AUREL SPA,00236220406,
3285,SARMAX SRL,02855610362,
3312,A.T.S. 2000 SRL,02136000342,
3316,FAG-MELO' SRL,01679001204,
3324,MEC PROGRAM SNC,02063750364,
3325,CYKLOP SRL,00886420157,
3332,C.M.I. SRL,00666031208,
3337,IMOLA  SERVICE  DI POLI,01945811204,
3345,PERFECT PACK  SRL,01814880405,
3357,DUEMME SNC DI QUERZE' MA,01921681209,
3367,SOFT SYSTEM  SRL,01742070368,
3399,SCADIF SRL,00144380342,
3407,NEW G.P.B.  SRL,02750841203,
3410,SELA CARS SRL,02021820408,
3431,STEFAL  SRL,00540721206,
3436,MARGELLI SRL,01642640385,
3438,AMS  AUTOMAZIONI  SPA,SM03806,
3454,PM OIL & STEEL SPA,03520360961,
3458,CAMME 4 SRL,00546411208,
3495,TM  SRL,02092831201,
3536,A.G. MECCANICA  SRL,02408811202,
3554,LA MECCANICA  SNC,00953160355,
3561,TECNOS SRL,03472620404,
3563,OSTI SNC DI OSTI ELIO &,01210490387,
3565,AMPLO SRL,02977670369,
3566,HYDRAPAC  ITALIA  SRL- U,02423401203,
3568,DI QUATTRO SRL,02679110367,
3595,FROMM ITALIANA SRL,00223630237,
3610,EUROMARCHE  SRL,00884980442,
3641,MOLEX INTERCONNECT GMBH,NL802332146B01,
3659,R.BARDI SRL,00231590340,
3672,E.F.C.  SRL,02986621205,
3685,LUNAFILM SPA,03240390405,
3687,GL55 SAS DI GRILLI G.LUC,03419050368,
3692,R.G.  AUTOMAZIONI SNC,02867890366,
3701,INVENTA SRL,01894250362,
3727,DENKEN ITALIA SRL,04015970405,
3729,CLIVIO  SRL,02374840342,
3735,COLLARI SNC,03244801209,
3736,ERRELLE  SRL,01842021204,
3755,AWM SRL,03421980362,
3760,MECVEL SRL,04313760375,
3762,PROMAU SRL,02082500402,
3763,ESOTECH,03394020402,
3776,TRASCAR SRL,02864900366,
3777,CIERRE  SRL,01568710386,
3781,INDUSTRIAL SOLUTIONS RES,02400970360,
3785,SIET SERVICE SRL,01131250381,
3787,GISAL  SRL,03205631207,
3792,REGGIANA MACCHINE UTENSI,00220510358,
3798,SIMA  SRL,03272451208,
3799,CERAMIC INSTRUMENTS  SRL,00710640368,
3801,AMADORI SNC,01730900402,
3802,SACMI  TECH  SPA,02981921204,
3811,FASTEC SRL,02484010372,
3813,CMA  TEC  SRL,03058601208,
3822,ESTENSIONE  SRL,02322650363,
3826,RD2 SRL,02713111207,
3828,SIEM IMPIANTI SOC.COOP.V,04025140403,
3841,CIMA SPA CON SOCIO UNICO,03536420361,
3846,IRI  SRL,02079210361,
3851,AMB FOOD TECH  SRL,03281801203,
3857,TEKNOX SRL,02130271204,
3878,GIEFFE SISTEMI SRL - UNI,02304720481,
3886,CABLONETTUNO  SRL,02352751206,
3887,ZURIGO SERVICE  SNC,02407431200,
3891,CENTRO GRU SRL,00530661206,
3896,NUOVA MD DI MELUCCI DAVI,04100060401,
3914,RS TECNOLOGY  SRL,03355001201,
3915,GIEFFE DI FIORI SRL,03591001205,
3921,BORGHI SPA  - A  SOCIO,03575150366,
3926,LAG-RAINER SRL,03375481201,
3933,TECNO-STAR DUE  SRL,01709680365,
3939,C.M.S. SRL,01912190384,
3940,DENVER SPA,SM04152,
3955,RST  SRL,02612830360,
3961,L'ELETTRICA  SPA,03804730483,
3977,G.M.C. SRL,03588000368,
3982,ITALSTAMPI SPA,01901260354,
3990,VACCARI & BOSI  SRL,00360820369,
4000,SAPEM  SRL,03281620546,
4020,PRISMA  SPA,00957350960,
4021,ILMEC SRL,00810500363,
4024,SMART COMPONENTS  SRL,02897311201,
4025,EGICON  SRL,02887181200,
4029,ELECTRIC PRODUCTION SRL,03393421205,
4031,M.C.F.  TRADE  SRL,03807870401,
4039,APPEL  SRL   - UNIPERSON,03945010365,
4043,PANINI SRL,01292320361,
4049,FAMAR TEC SRL,02523390397,
4059,CEMASTIR  LAVAMETALLI SR,02607081201,
4060,D.K.M.  DI MONTEIRO  KAR,03105731206,
4066,C.M.S.  SPA,00934450362,
4071,M.T.B.  SNC,00600761209,
4072,MAR PRODUZIONI SRL,04206100408,
4077,CECCHINI TOP ASSISTANCE,03161551209,
4079,DIERREGI  SRL,03601330362,
4080,LA.CE.CO SRL,01854570361,
4098,MODULA SPA,03197890365,
4101,CALZEDONIA SPA,01037050422,
4108,MOTOTECNICA SAS,00862731205,
4109,ACHILLI SRL,02343350407,
4111,RDF PROJECT  SRL,02530360391,
4112,FRATELLI BEGA SRL,00313860363,
4116,BAGIONI   ALFIERO  SNC,03589480403,
4124,SIMAS  SRL,02498261201,
4129,INDACO PROJECT SRL,02196721209,
4136,TAMARRI  SRL,04008710370,
4137,ATLAS  TRADING CO. SRL,10469360159,
4138,ELCONTROL ENERGY NET SRL,03448841209,
4141,ADHOC SISTEMI SAS,02629110343,
4149,TASK  SRL,00213040280,
4151,NOVA SRL,01527961203,
4157,MM IMPIANTI DI MERLI MIC,03452711207,
4158,DELTOS SRL,01976720381,
4162,GRANDI  SRL,03527361202,
4174,CARPANELLI MOTORI ELETTR,00662271204,
4177,PWG  SRL -  SOCIETA' C/,02873661207,
4181,QUBICAAMF  EUROPE SPA,04320910377,
4185,HORBITEK  SRL,SM23980,
4191,TECHCAB SRL,02595740347,
4203,MACROSS AUTOMAZIONE SRL,03594681201,
4209,LO.GI.CA. SRL,03418500363,
4217,MI&P   SRL,03140011200,
4218,M2G AUTOMAZIONI  SRL,03723320366,
4222,G.B. SNC DI BALLARIN GIU,03404491205,
4223,ARKIMAT SRL,02273951208,
4224,MARZOCCHI POMPE SPA,03285900969,
4225,ETS- ELECTRIX TECNOLOGIE,04644850283,
4232,HIAB  ITALIA  SRL,01943080224,
4236,MSP  SRL,03531830366,
4239,SELCOM GROUP SPA,09865430962,
4240,FRATONI FORNITURE  SRL,01946480439,
4243,DELVER  SPA,01282340361,
4245,G.O.B.  SRL    con socio,03904790361,
4253,MAXIL SRL  C/ SOCIO UNIC,02987521206,
4255,CAVAZZUTI  SRL,00178990362,
4267,POLI SAS  DI RIGHI S. e,03107931200,
4268,VRM S.P.A.,01781981202,
4275,OFFICINA BOCEDI SRL,01625490352,
4276,SATECH  SPA,02554340139,
4285,ERCO SRL,02775920354,
4293,COSMEC  SRL,03366030405,
4301,GVF  IMPIANTI  SRL,01923020356,
4303,SEEDEX SRL,03347160362,
4305,CEVOLANI  ITALIA  SRL,03692160132,
4306,ZETAPACK SRL,04370360408,
4307,CORSI SRL,00598711208,
4310,MDM METROSOFT  SRL,00619251200,
4312,ASCOM SERVICE  SRL,03593210366,
4322,MOVITECH SRL,03787490360,
4325,LUC&BEL SRL,03438920369,
4327,TITAN ITALIA SPA,00500291208,
4328,COCITO ETICHETTATRICI  S,03686431200,
4330,AB AUTOMATION SRL SOCIO,04288140405,
4331,RINOVA  SRL     a  socio,03638861207,
4335,TIMA SRL,02670710355,
4336,LA TEMPERA  SRL,00501281208,
4353,NUOVA MONDIAL MEC  SRL,02092460407,
4358,ILIP SRL,03499571200,
4366,A.I.R. PNEUMATIC CENTER,01665420400,
4367,GRANDI RISO SPA  a socio,01571620382,
4368,GI-MATICO  SRL,03759860368,
4370,GEFRA  AUTOMAZIONE  SRL,03139621209,
4374,SYSTEM CERAMICS  SPA,03718840360,
4378,SIGMADUE SRL,03728451208,
4382,ELETTROMECCANICA ICEB  S,03129860379,
4392,F.C.L.  SRL,01291670360,
4397,DUNA - CORRADINI  SPA,01803960366,
4412,MANITRONICA SRL A SOCIO,02049101203,
4413,CAVALLERETTI STAMPAGGIO,01304190380,
4417,MEKSO  SRLS,05173950287,
4427,C.E.I.  SPA,00707451209,
4434,FAMAGA GROUP GMBH & CO K,DE268455112,
4435,GRILLO  SPA,00814230405,
4443,AIR CLEAN & SERVICE SRL,02875470367,
4446,SILVI  SRL,01703940351,
4450,IMBRIANO  SRL,02805090640,
4453,FAAC SPA  SOC.UNIPERSONA,03820731200,
4455,PEN-TEC SRL - UNIPERSONA,02072310390,
4458,BHT  SRL,03372670368,
4460,F.A.S. SRL,02806551202,
4461,GAZZA ANSELMO  SRL,00426440343,
4470,ATAFF  OLEODINAMICA  SRL,01924180340,
4473,TRANSTECNO SRL,00575261201,
4478,GGS  SRL,03693861209,
4480,VAUTOHOME  SRL SOC.UNIPE,03861690406,
4484,SCHMUCKER  SRL,00373660315,
4505,ACERO  SRL,01009390392,
4516,EUROELETTRA  SRL,03734681202,
4529,ESTRELLA  DI  MONARI  F.,01717301202,
4531,T.R. LAVORAZIONI MECCANI,00543970362,
4532,C.I.ME.S  SRL,01871960363,
4534,PHILIP-SERVICE  SRL -SOC,03482650367,
4537,SACMI PACKAGING & CHOCOL,04162551206,
4538,FEDEC  SRL,03942300363,
4539,VELOMAT  SRL,02389780699,
4540,IPC  SPA,SM 03457,
4542,MOLINO BASSINI  SRL,00500601208,
4543,ELTRON  SPOLKA   Sp.K.,PL8971839531,
4544,AUTOMATION TECHNOLOGY SO,03809940368,
4553,DEFRANCESCHI  SRL,03563141203,
4558,SHOCK  SRL,03984200364,
4561,SNAP  ROBOTICS  SRL,02165080397,
4562,CEBB  H.F.  TECHNOLOGY,03949121200,
4563,NUOVA C.G.S. SRL,00613700350,
4566,ILSA-MC  SRL,03919611206,
4568,NAVINT  SRL,01260490998,
4569,PICTOR COOPERATIVA SOCIA,01554711208,
4570,ISAF SRL,01049590399,
4571,T.S. FOOD PROCESSING SRL,09104390969,
4572,PARINI SRL,01967500354,
4573,ACR  SRL,01671330346,
4578,M.C.M.  SPA,01172010330,
4582,FMT  SRL,01985760345,
4583,METALNOVA  SPA,00762710341,
4585,OSTI AUTOMATION  SRL,02064830389,
4586,ZEFA   SRL,02455260345,
